OBJECTID,Shape_Leng,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,tas_annual_baseline_81_00_media,tas_annual_01_20_median,tas_annual_change_01_20_median,tas_annual_change_15_median,tas_annual_change_20_median,tas_annual_change_25_median,tas_annual_change_30_median,tas_annual_change_40_median,tas_annual_baseline_81_00_upper,tas_annual_01_20_upper,tas_annual_change_01_20_upper,tas_annual_change_15_upper,tas_annual_change_20_upper,tas_annual_change_25_upper,tas_annual_change_30_upper,tas_annual_change_40_upper,tas_annual_baseline_81_00_lower,tas_annual_01_20_lower,tas_annual_change_01_20_lower,tas_annual_change_15_lower,tas_annual_change_20_lower,tas_annual_change_25_lower,tas_annual_change_30_lower,tas_annual_change_40_lower,SHAPE_Length,SHAPE_Area,,Comments,
45,48000,50.57078258,-4.68455294,78000,210000,9.905474175,10.61722439,0.711750217,0.970696253,1.497557224,1.929801303,2.330999323,3.155525509,9.909169922,10.85924262,0.9500727,1.328559596,1.799505415,2.037327836,2.548922681,3.588207879,9.90406684,10.50794922,0.603882378,0.861198847,1.338607288,1.847652943,2.165606967,2.845325728,48000,-144000000,,,
46,48000,50.57456359,-4.51526779,78000,222000,9.249544813,9.962917752,0.713372938,0.98076345,1.514611752,1.950995577,2.367437092,3.211305416,9.254776476,10.19729926,0.942522786,1.360750351,1.85583447,2.108295976,2.588934772,3.644147032,9.24555447,9.849123264,0.603568793,0.874652623,1.357043547,1.898872768,2.198787719,2.917075066,48000,-144000000,,,
47,48000,50.57809892,-4.34594697,78000,234000,10.10782064,10.82681315,0.718992513,1.002640542,1.54144136,1.975451725,2.402945524,3.257858305,10.10986003,11.06194444,0.952084418,1.38216213,1.885908203,2.166833974,2.626064866,3.705136667,10.10365234,10.71700304,0.613350694,0.883930845,1.371157717,1.93953466,2.23460922,2.973416315,48000,-144000000,,,
48,48000,50.58138829,-4.17659239,78000,246000,9.871452908,10.59727051,0.7258176,1.012286887,1.56032131,2.008636559,2.431049391,3.300286122,9.87421441,10.84977865,0.975564236,1.4072865,1.917841642,2.187552497,2.696607195,3.758451193,9.870152995,10.50108507,0.630932075,0.916555421,1.391371373,1.961036965,2.275312087,3.04164636,48000,-144000000,,,
49,48000,50.58443162,-4.0072073,78000,258000,8.407944336,9.131400825,0.723456489,1.016559516,1.570732732,2.026412903,2.440585124,3.300141485,8.412407769,9.373023003,0.960615234,1.411841931,1.904232985,2.160614227,2.72715177,3.770439996,8.406737196,9.054577908,0.647840712,0.930569739,1.40691817,1.975444956,2.301404597,3.069117606,48000,-144000000,,,
50,48000,50.58722878,-3.83779443,78000,270000,8.79991862,9.509444444,0.709525825,1.025624664,1.593997112,2.031838986,2.465425683,3.320430992,8.805264757,9.760411241,0.955146484,1.415173818,1.892738276,2.139076942,2.736035311,3.790582321,8.798043077,9.427931858,0.62988878,0.944702872,1.41305398,1.994006361,2.335306506,3.075896939,48000,-144000000,,,
51,48000,50.58977882,-3.66835611,78000,282000,10.28690755,10.99543294,0.708525391,1.039456639,1.628798389,2.048360512,2.502085813,3.349334542,10.29020833,11.25687283,0.966664497,1.408375909,1.902604115,2.149427445,2.743222243,3.793393581,10.28543294,10.91464952,0.62921658,0.945227141,1.415549975,2.006697875,2.341744378,3.078479869,48000,-144000000,,,
52,48000,50.59208244,-3.49889571,78000,294000,10.35936469,11.05948622,0.700121528,1.038896484,1.633233533,2.025236726,2.486535683,3.334068855,10.36293077,11.31732205,0.954391276,1.376964492,1.883766328,2.130027282,2.716820798,3.748501571,10.35688368,10.9893826,0.632498915,0.936702887,1.406145265,1.999688843,2.303211806,3.067660694,48000,-144000000,,,
53,48000,50.59413999,-3.329415,78000,306000,10.86435601,11.57082357,0.706467556,1.04041863,1.631430897,2.028590056,2.497326906,3.338382575,10.86743273,11.82593099,0.958498264,1.384255849,1.893115183,2.143242808,2.716420046,3.762507337,10.86177951,11.49972439,0.637944878,0.935048776,1.402621734,2.004985119,2.300253906,3.075089854,48000,-144000000,,,
54,48000,50.59990787,-2.65132424,78000,354000,10.83361111,11.58757595,0.753964844,1.060775308,1.659244637,2.084738472,2.530119306,3.405980644,10.83638563,11.85182183,1.015436198,1.436187531,1.963348369,2.236809844,2.828467675,3.835667369,10.83126845,11.51079861,0.679530165,0.959133701,1.405128348,2.035881283,2.354401197,3.150587488,48000,-144000000,,,
